member,valid_time,lead_h,track_err_km,slp_pred,slp_obs,wind_pred_kt,wind_obs_kt,slp_err,wind_err_kt
5,2024-10-10 12:00:00,84,80.80976575496535,992.2507409443363,983.0,47.807439976704806,65.0,9.250740944336258,-17.192560023295194
5,2024-10-10 18:00:00,90,101.91201807440832,983.7117599902303,984.0,65.09381076803191,60.0,-0.2882400097696518,5.093810768031915
5,2024-10-11 00:00:00,96,189.02256663017536,989.916861436612,986.0,54.55018154807236,60.0,3.9168614366119527,-5.449818451927641
5,2024-10-11 06:00:00,102,169.7466641839243,991.8464331361204,993.0,50.07632240464288,55.0,-1.1535668638796324,-4.92367759535712
5,2024-10-11 12:00:00,108,188.3255825221422,987.3496752864602,997.0,54.050475003488735,55.0,-9.650324713539817,-0.9495249965112649
5,2024-10-11 18:00:00,114,249.6778485748025,988.2461003901572,999.0,50.05674851294408,50.0,-10.753899609842847,0.05674851294408256
6,2024-10-07 00:00:00,0,0.0,981.0,981.0,75.0,75.0,0.0,0.0
6,2024-10-07 06:00:00,6,15.092971195897958,984.1048024563587,972.0,68.48739382804382,90.0,12.104802456358698,-21.51260617195618
6,2024-10-07 12:00:00,12,45.77907909104297,971.6087404077389,943.0,82.39490422138266,120.0,28.60874040773888,-37.60509577861734
6,2024-10-07 18:00:00,18,65.8997684903605,968.5617582078501,908.0,90.66021567713338,150.0,60.56175820785006,-59.33978432286662
6,2024-10-08 00:00:00,24,46.03990743942432,964.0231664079477,902.0,96.15541515634226,145.0,62.023166407947656,-48.84458484365774
6,2024-10-08 06:00:00,30,31.92573018799071,952.9159161090265,925.0,104.87613931325991,125.0,27.91591610902651,-20.123860686740088
6,2024-10-08 12:00:00,36,79.98132645378237,940.4732900773588,929.0,120.46912276531936,125.0,11.473290077358797,-4.530877234680645
6,2024-10-08 18:00:00,42,82.25689663686937,949.3881436437024,916.0,108.3958884095223,140.0,33.38814364370239,-31.6041115904777
6,2024-10-09 00:00:00,48,139.5986497087885,926.888332501854,908.0,140.85403424637462,140.0,18.88833250185405,0.8540342463746242
6,2024-10-09 06:00:00,54,150.09278226093505,937.5119577091539,909.0,114.61718579003107,140.0,28.511957709153876,-25.382814209968927
6,2024-10-09 12:00:00,60,118.47858532727601,934.0208747895558,919.0,125.03577615724816,135.0,15.020874789555819,-9.964223842751835
6,2024-10-09 18:00:00,66,59.40011228942413,940.4440408471748,945.0,129.9740780868793,115.0,-4.555959152825153,14.974078086879302
6,2024-10-10 00:00:00,72,79.05571597710158,955.3541269570951,956.0,95.41660202266958,105.0,-0.6458730429048956,-9.58339797733042
6,2024-10-10 06:00:00,78,84.35435020218729,968.9431592407078,975.0,79.22458615501542,70.0,-6.056840759292186,9.224586155015416
6,2024-10-10 12:00:00,84,85.6277727195522,980.0856027244573,983.0,69.2153196546409,65.0,-2.914397275542683,4.2153196546408935
6,2024-10-10 18:00:00,90,54.16755897574476,988.258941828881,984.0,62.111134098859026,60.0,4.258941828881007,2.1111340988590257
6,2024-10-11 00:00:00,96,41.465605901351935,988.986484986676,986.0,59.424185181368486,60.0,2.9864849866760323,-0.575814818631514
6,2024-10-11 06:00:00,102,90.16158914705159,982.8233301152487,993.0,56.208447797964475,55.0,-10.176669884751277,1.2084477979644745
6,2024-10-11 12:00:00,108,156.44075198042896,983.8580285931571,997.0,64.0058134386536,55.0,-13.141971406842913,9.005813438653604
6,2024-10-11 18:00:00,114,359.29700659895394,986.0232866654909,999.0,65.72270147454745,50.0,-12.9767133345091,15.72270147454745
7,2024-10-07 00:00:00,0,0.0,981.0,981.0,75.0,75.0,0.0,0.0
7,2024-10-07 06:00:00,6,21.59195686950203,952.9461706333501,972.0,109.66071952140196,90.0,-19.053829366649893,19.66071952140196
7,2024-10-07 12:00:00,12,44.243595259700975,960.835894968254,943.0,96.02239487411421,120.0,17.835894968254024,-23.977605125885788
7,2024-10-07 18:00:00,18,119.06565737666061,978.4533733103058,908.0,73.61874077916855,150.0,70.45337331030578,-76.38125922083145
7,2024-10-08 00:00:00,24,72.409659641816,964.6244954417527,902.0,96.2168637228979,145.0,62.62449544175274,-48.7831362771021
7,2024-10-08 06:00:00,30,35.504477097851655,964.5944841296683,925.0,86.40191723676188,125.0,39.59448412966833,-38.598082763238125
7,2024-10-08 12:00:00,36,63.182976146124105,959.6211407669797,929.0,100.68338949130656,125.0,30.621140766979693,-24.316610508693444
7,2024-10-08 18:00:00,42,95.36343739196845,949.5805278471073,916.0,114.4712987145681,140.0,33.580527847107305,-25.528701285431893
7,2024-10-09 00:00:00,48,62.425116921115354,932.6119140176446,908.0,135.2037712999834,140.0,24.611914017644608,-4.796228700016599
7,2024-10-09 06:00:00,54,45.59077005254335,929.8373042005607,909.0,136.41245740073424,140.0,20.837304200560652,-3.5875425992657597
7,2024-10-09 12:00:00,60,63.81919678020806,914.3358909978123,919.0,153.75520852805576,135.0,-4.664109002187729,18.75520852805576
7,2024-10-09 18:00:00,66,42.11173338329192,939.1496275852036,945.0,119.9949774843065,115.0,-5.850372414796425,4.994977484306503
7,2024-10-10 00:00:00,72,87.80826180410413,952.8666005905819,956.0,107.02570903425286,105.0,-3.1333994094180753,2.0257090342528556
7,2024-10-10 06:00:00,78,147.92184204145204,966.2419025862873,975.0,87.48907500202561,70.0,-8.758097413712676,17.489075002025615
7,2024-10-10 12:00:00,84,194.99196388178294,978.6664642258575,983.0,73.93967957725988,65.0,-4.333535774142547,8.93967957725988
7,2024-10-10 18:00:00,90,360.96326875134287,988.3097937112807,984.0,56.06143357176211,60.0,4.30979371128069,-3.938566428237891
7,2024-10-11 00:00:00,96,341.07382321543844,983.2129295423406,986.0,65.71935974791828,60.0,-2.7870704576594107,5.719359747918276
7,2024-10-11 06:00:00,102,358.7508736671625,985.5800039386052,993.0,62.272820141352824,55.0,-7.419996061394841,7.272820141352824
7,2024-10-11 12:00:00,108,484.31219051252134,979.2789757411059,997.0,69.23443669154358,55.0,-17.72102425889409,14.234436691543578
7,2024-10-11 18:00:00,114,634.1611962524368,983.4575135365305,999.0,67.30739006533373,50.0,-15.542486463469459,17.307390065333735
